Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Relays,Relay,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Leds,PwmLedBarGraph,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Leds,PwmLed,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Leds,RgbPwmLed,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Leds,LedBarGraph,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Leds,PwmLedBarGraph.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Leds,PwmLed.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Leds,Led,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Leds,RgbLed,True,True,False,True,True,True,True,False,False,True
Meadow.Foundation.Leds,LedBarGraph.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Leds,RgbPwmLed.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Leds,RgbLed.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Leds,Led.Animations,False,False,False,True,False,False,False,False,False,True
Meadow.Foundation.Audio,PiezoSpeaker,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Motors,BidirectionalDcMotor,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Motors,HBridgeMotor,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors,Potentiometer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Switches,SpstSwitch,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Switches,DipSwitch,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Switches,SpdtSwitch,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Buttons,PushButton,True,False,False,True,True,False,True,True,False,True
