PackageName,NumberOfDrivers,IsPublished,HasCompleteMetaData,HasDataSheet,NumberOfSamples,HasTestSuite
Meadow.Foundation,47,True,False,False,0,False
Meadow.Foundation.Audio.MicroAudio,6,True,False,False,1,False
Meadow.Foundation.DataLoggers.AdafruitIO,1,True,False,False,0,False
Meadow.Foundation.DataLoggers.SensorReading,1,True,False,False,0,False
Meadow.Foundation.DataLoggers.ThingSpeak,1,True,False,False,0,False
Meadow.Foundation.Displays.TextDisplayMenu,11,True,False,False,3,False
Meadow.Foundation.Graphics.MicroGraphics,18,True,False,False,1,False
Meadow.Foundation.Graphics.MicroLayout,27,True,False,False,8,False
Meadow.Foundation.Meadow.Foundation.MicroScheduler,7,False,False,False,0,False
Meadow.Foundation.Sensors.Location.Gnss.NmeaProcessor,7,True,False,False,1,False
Meadow.Foundation.Serialization.MicroJson,1,True,False,False,3,False
Meadow.Foundation.Servos,10,True,False,True,1,False
Meadow.Foundation.Audio.Mp3.Yx5300,1,True,False,True,1,False
Meadow.Foundation.Audio.Radio.Tea5767,1,True,False,True,1,False
Meadow.Foundation.Batteries.Voltaic.V10x,1,True,False,True,1,False
Meadow.Foundation.Displays.AsciiConsole,1,True,False,False,1,False
Meadow.Foundation.Displays.Ch1115,1,True,False,True,1,False
Meadow.Foundation.Displays.ePaper,20,True,False,True,10,False
Meadow.Foundation.Displays.ePaperWaveShare,23,True,False,False,5,False
Meadow.Foundation.Displays.Gtk,1,True,False,False,0,False
Meadow.Foundation.Displays.Lcd.CharacterDisplay,1,True,False,False,1,False
Meadow.Foundation.Displays.Led.FourDigitSevenSegment,1,True,False,False,1,False
Meadow.Foundation.Displays.Led.FourteenSegment,1,True,False,False,1,False
Meadow.Foundation.Displays.Led.SevenSegment,1,True,False,True,1,False
Meadow.Foundation.Displays.Led.SixteenSegment,1,True,False,False,1,False
Meadow.Foundation.Displays.Max7219,1,True,False,True,3,False
Meadow.Foundation.Displays.Pcd8544,1,True,False,True,1,False
Meadow.Foundation.Displays.Sh110x,2,True,False,True,2,False
Meadow.Foundation.Displays.SharpMemory,1,True,False,False,2,False
Meadow.Foundation.Displays.Silk,1,True,False,False,3,False
Meadow.Foundation.Displays.Ssd130x,2,True,False,True,4,False
Meadow.Foundation.Displays.Ssd1327,1,True,False,True,1,False
Meadow.Foundation.Displays.St7565,1,True,False,True,1,False
Meadow.Foundation.Displays.TftSpi,31,True,False,True,17,False
Meadow.Foundation.Displays.Tm1637,1,True,False,True,1,False
Meadow.Foundation.Displays.Uc1609c,1,True,False,True,1,False
Meadow.Foundation.Displays.WinForms,1,True,False,False,1,False
Meadow.Foundation.FtxEepromProgrammer,1,False,False,False,0,False
Meadow.Foundation.ICs.ADC.Ads1x15,2,True,False,True,2,False
Meadow.Foundation.ICs.ADC.Ads7128,1,True,False,True,2,False
Meadow.Foundation.ICs.ADC.AnalogMux,3,True,False,True,1,False
Meadow.Foundation.ICs.ADC.Mcp3xxx,8,True,False,True,8,False
Meadow.Foundation.ICs.CAN.Mcp2515,1,True,False,True,1,False
Meadow.Foundation.ICs.CAN.PCanBasic,1,True,False,False,1,False
Meadow.Foundation.ICs.DAC.Mcp4728,1,True,False,True,1,False
Meadow.Foundation.ICs.DAC.Mcp492x,2,True,False,True,0,False
Meadow.Foundation.ICs.DigiPots.Ds3502,1,True,False,True,1,False
Meadow.Foundation.ICs.DigiPots.Mcp4xxx,16,True,False,True,1,False
Meadow.Foundation.ICs.EEPROM.At24Cxx,1,True,False,True,1,False
Meadow.Foundation.ICs.FanControllers.Emc2101,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Ads1263,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.As1115,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Cp2112,1,False,False,False,1,False
Meadow.Foundation.ICs.IOExpanders.Ftxxxx,4,True,False,True,3,False
Meadow.Foundation.ICs.IOExpanders.Ht16k33,1,True,False,True,2,False
Meadow.Foundation.ICs.IOExpanders.Is31fl3731,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Mcp23xxx,8,True,False,True,10,False
Meadow.Foundation.ICs.IOExpanders.Pca9671,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Pca9685,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Pcx857x,6,True,False,True,4,False
Meadow.Foundation.ICs.IOExpanders.Sc16is7x2,2,True,False,True,2,False
Meadow.Foundation.ICs.IOExpanders.SerialWombat,1,True,False,False,5,False
Meadow.Foundation.ICs.IOExpanders.Tca9548a,1,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.Tca95x5,2,True,False,True,1,False
Meadow.Foundation.ICs.IOExpanders.x74595,1,True,False,True,1,False
